Key,English Value,Kurdish Translation
SMS_Configuration,SMS Configuration,ڕێکخستنی کورتەنامە
sms_config_invalid,wrong sms config invalid,هەڵە کورتەنامە config invalid
sms_notification,SMS notification,ئاگادارکردنەوەی کورتەنامە
sms_send_successfully,Message sent successfully,نامەیەک بە سەرکەوتوویی نێردراوە
sms_settings,Sms Settings,ڕێکخستنەکانی SMS
sms_templates,SMS Templates,SMS Templates
SMTPConfiguration,SMTP Configuration,ڕێکخستنی SMTP
SMTPIncorrect,SMTP Configuration Incorrect,ڕێکخستنی SMTP هەڵەیە
Social_Links,Social links,لینکە کۆمەڵایەتییەکان
Social_Media,Social Media,سۆشیال میدیا
Some_warehouses,Some Warehouses,هەندێک کۆگا
Source,Source,سەرچاوە
StandardProduct,Standard Product,بەرهەمی ستاندارد
start_date,Start date,بەرواری دەستپێکردن
Start_typing_to_search,Start typing to search,دەست بکە بە تایپکردن بۆ گەڕان
Status,Status,دۆخ
Status_Overview,Status Overview,تێڕوانینێکی گشتی بۆ دۆخ
Stock,Stock,کەرەستە
StockAdjustement,Adjustment,ڕێکخستن
StockAlert,Stock Alert,ئاگادارکردنەوە لە کۆگا
StockManagement,Stock Management,بەڕێوەبردنی ستۆک
StockTransfer,Stock Transfer,گواستنەوەی ستۆک
StockTransfers,Transfer,گواستنەوە
Stock_Adjustment_Report,Stock Adjustment Report,ڕاپۆرتی ڕێکخستنی ستۆک
Stock_Aging_Report,Stock Aging Report,ڕاپۆرتی پیربوونی ستۆک
STOCK_ON_HAND,STOCK ON HAND,کۆگا لەسەر دەست
stock_report,Stock Report,ڕاپۆرتی ستۆک
Stock_Transfer_Report,Stock Transfer Report,ڕاپۆرتی گواستنەوەی ستۆک
Store,Store,فرۆشگا
Store_Basics,Store basics,بنەماکانی فرۆشگا
Store_Logo,Store Logo,لۆگۆی فرۆشگا
Store_Name,Store name,ناوی فرۆشگا
Store_URL,Store URL,URL ی فرۆشگا
SubCategorie,Sub Category,پۆلی لاوەکی
Subject,Subject,بابەت
submit,Submit,پێشکەشکردن
Subscribed At,Subscribed at,سەبسکرایب کراوە لە
Subscribers,Subscribers,بەشداربووان
Subscriptions,Subscriptions,بەشداریکردن
Subscription_details,Subscription details,وردەکارییەکانی بەشداریکردن
Subscription_Product,Subscription Product,بەرهەمی بەشداریکردن
Subscription_status_updated_successfully,Subscription status updated successfully,دۆخی بەشداریکردن بە سەرکەوتوویی نوێکراوەتەوە
SubTotal,Subtotal,کۆی گشتی
Subtraction,Subtraction,کەمکردنەوە
Success,Success,سەرکەوتن
Successfully_Created,Successfully Created,بە سەرکەوتوویی دروستکراوە
Successfully_Generated_Count,Successfully Generated,بە سەرکەوتوویی دروستکرا
Successfully_Imported,Successfully Imported,بە سەرکەوتوویی هاوردە کراوە
Successfully_Logged_In,Successfully Logged In,بە سەرکەوتوویی چوونە ژوورەوە
Successfully_Updated,Successfully Updated,بە سەرکەوتوویی نوێکراوەتەوە
Summary,Summary,پوختە
sunday_in,Sunday In,یەکشەممە لە
sunday_out,Sunday Out,یەکشەممە ئاوت
Supplier,Supplier,دابینکەر
SupplierCode,Supplier Code,کۆدی دابینکەر
SupplierDetails,Supplier Details,وردەکارییەکانی دابینکەر
SupplierName,Supplier Name,ناوی دابینکەر
SupplierPaiementsReport,Supplier Payments Report,ڕاپۆرتی پارەدانی دابینکەر
SupplierPurchasesReport,Supplier Purchases Report,ڕاپۆرتی کڕینی دابینکەر
SupplierReport,Supplier Report,ڕاپۆرتی دابینکەر
Suppliers,Suppliers,دابینکەران
SuppliersManagement,Suppliers Management,بەڕێوەبردنی دابینکەران
SuppliersPaiementsReport,Suppliers Payments Report,ڕاپۆرتی پارەدانی دابینکەران
SuppliersReport,Suppliers Report,ڕاپۆرتی دابینکەران
Supplier_Info,Supplier Info,زانیاری دابینکەر
Supported_formats_JPG_PNG_GIF,"Supported formats: JPG, PNG, GIF","فۆرماتە پشتگیریکراوەکان: JPG, PNG, GIF"
Symbol,Symbol,هێما
Sync,Sync,هاوکاتکردن
Synced,Synced,هاوکات کراوە
Synced_Categories,Synced Categories,پۆلەکانی هاوکات
Synced_Products,Synced products,بەرهەمە هاوکاتەکان
Syncing,Syncing,هاوکاتکردن
Syncing_Products,Syncing products,بەرهەمەکانی هاوکاتکردن
Sync_All_Clients,Sync All Clients,هەموو مشتەرییەکان هاوکات بکە
Sync_Categories,Sync categories,پۆلەکانی SYNC
Sync_Completed,Sync completed,سینک تەواو بوو
Sync_Failed,Sync failed,Sync شکستی هێنا
Sync_Interval,Sync interval,سینک ئینتەرڤاڵ
Sync_Only_Unsynced,Sync only unsynced,سینک تەنها unsynced
Sync_Orders,Sync orders,فەرمانەکانی هاوکاتکردن
Sync_Products,Sync products,Sync Products
Sync_Selected,Sync Selected,Sync هەڵبژێردراو
Sync_selected_failed,Sync selected failed,Sync هەڵبژێردرا شکستی هێنا
Sync_Stock_Now,Sync stock now,ئێستا کۆگا Sync
SystemSettings,System Settings,ڕێکخستنەکانی سیستەم
Tag,Tag,نیشانە
Tasks,Tasks,ئەرکەکان
Task_List,Task List,لیستی ئەرکەکان
Tax,Tax,باج
Taxable_Base,Taxable base,بنکەی باجخواز
Taxable_Purchases,Taxable Purchases,کڕینی باجخواز
Taxable_Sales,Taxable Sales,فرۆشتنی باجخواز
TaxesOverTime,Taxes Over Time,باج بە تێپەڕبوونی کات
TaxMethod,Tax Type,جۆری باج
TaxName,Tax Name,ناوی باج
TaxRate,Tax Rate,ڕێژەی باج
Tax_Collected,Tax collected,باج کۆکراوەتەوە
Tax_Number,Tax Number,ژمارەی باج
Tax_Payable,Tax payable to authorities,باج دەدرێت بە دەسەڵاتداران
Tax_Rate,Tax rate,ڕێژەی باج
Tax_Refund,Tax refund expected,گەڕانەوەی باج چاوەڕوان دەکرێت
Tax_Summary_Link,Tax Summary,پوختەی باج
Tax_Summary_Report,Tax Summary Report,ڕاپۆرتی پوختەی باج
Testing,Testing,تاقیکردنەوە
Test_Connection,Test connection,پەیوەندی تاقیکردنەوە
Thank_you_for_shopping_with_us,Thank you for shopping with us,سوپاس بۆ بازاڕکردن لەگەڵ ئێمە
Thank_you_for_your_business,Thank you for shopping with us . Please come again,سوپاس بۆ بازاڕکردن لەگەڵ ئێمە . تکایە جارێکی تر وەرە
Thank_you_for_your_purchase,Thank you for your purchase!,سوپاس بۆ کڕینەکەت!
Theme_support_dark_light,Dark and light theme support,پشتگیری تەوەرەی تاریک و ڕووناکی
There_are,There are,هەن
The_module_must_be_uploaded_as_zip_file,The module must be uploaded as zip file,مۆدیولەکە دەبێت وەک فایلێکی زیپ بار بکرێت
The_password_confirmation_does_not_match,The password confirmation does not match,پشتڕاستکردنەوەی وشەی نهێنی ناگونجێت
ThisMonth,This Month,ئەم مانگە
ThisToday,This Today,ئەمڕۆ ئەمڕۆ
ThisWeek,This Week,ئەم هەفتەیە
ThisYear,This Year,ئەمساڵ
This_password_reset_token_is_invalid,This password reset token is invalid,ئەم تۆکنەی کە وشەی نهێنی ڕێست دەکاتەوە نادروستە
This_Product_Not_For_Selling,This Product Not For Selling,ئەم بەرهەمە بۆ فرۆشتن نییە
This_user_not_active,This user not active,ئەم بەکارهێنەرە چالاک نییە
This_Week_Sales_Purchases,This Week Sales & Purchases,ئەم هەفتەیە فرۆشتن و کڕینەکان
thursday_in,Thursday In,پێنجشەممە لە
thursday_out,Thursday Out,پێنجشەممە ئاوت
Time_In,Time In,کات لە
Time_Out,Time Out,تایم ئاوت
Time_Zone,Time Zone,ناوچەی کات
Tip,Tip,سەرنج
Tip_reorder_products_for_priority,Tip: Reorder products to set their display priority.,ئامۆژگاری: بەرهەمەکان ڕێکبخەنەوە بۆ ئەوەی ئەولەویەتی نمایشەکەیان دابنێن.
title,Title,ناونیشان
Title_and_Slug_required,Title and Slug are required.,تایتڵ و سلۆگ پێویستە.
to,To,بۆ
Today,Today,ئەمڕۆ
Today_Sales,Today Sales,ئەمڕۆ فرۆشتن
Toggle_to_show_on_home_and_use_arrows_to_reorder,Toggle to show on home and use arrows to reorder,Toggle بۆ ئەوەی لە ماڵەوە نیشان بدەیت و تیر بەکاربهێنە بۆ ڕێکخستنەوەی دووبارە
Tokens_secure_time_limited,Tokens are secure and time-limited,تۆکنەکان پارێزراون و کات سنووردار دەکەن
Token_expired_A,Generate a new token and update the display device with the new URL.,تۆکنێکی نوێ دروست بکە و بە URL ی نوێ ئامێری پیشاندانی نوێ بکەرەوە.
Token_expired_Q,Token expired?,تۆکن بەسەرچوو؟
Token_expires_24h,Each token expires automatically in 24 hours,هەر تۆکنێک لە ماوەی ٢٤ کاتژمێردا بە شێوەیەکی ئۆتۆماتیکی بەسەر دەچێت
Top5Products,Top 5 Products,5 بەرهەمی سەرەکی
Topbar_and_Footer,Topbar & footer,تۆپبار و فۆتەر
Topbar_Text_Left,Topbar text (left),دەقی تۆپبار (چەپ)
Topbar_Text_Right,Topbar text (right),دەقی تۆپبار (ڕاست)
TopCustomers,Top 5 Customers,5 کڕیاری سەرەکی
TopRoutes,Top routes,ڕێگاکانی سەرەوە
TopSuppliers,Top 5 Suppliers,5 دابینکەری سەرەکی
TopSuppliersByQty,Top suppliers by quantity,سەرەکیترین دابینکەران بەپێی بڕی
TopSuppliersByValue,Top suppliers by value,سەرەوە دابینکەران بەپێی بەها
Top_customers,Best customers,باشترین کڕیاران
Top_Selling_Products,Top Selling Products,باشترین بەرهەمە فرۆشراوەکان
Top_Suppliers_Report,Top Suppliers Report,ڕاپۆرتی سەرەکی دابینکەران
Total,Total,کۆ
TotalAmount,Total Amount,کۆی گشتی بڕی
TotalCost,Total Cost,کۆی تێچوون
TotalInflow,Total Inflow,کۆی گشتی هاتنە ژوورەوە
TotalOutflow,Total Outflow,کۆی گشتی دەرچوون
TotalPaid,Total Paid,کۆی گشتی پارەدار
TotalPaidExceedsGrandTotalForMultiPayment,Total Paid Exceeds Grand Total,کۆی گشتی پارەدار زیاترە لە کۆی گشتی
TotalPaying,Total Paying,کۆی گشتی پارەدان
TotalProducts,Total Products,کۆی گشتی بەرهەمەکان
TotalPurchases,Total Purchases,کۆی گشتی کڕینەکان
TotalQuantity,Total Quantity,کۆی گشتی بڕی
TotalReturn,Total Return,کۆی گشتی گەڕانەوە
TotalReturns,Total Returns,کۆی گشتی گەڕانەوەی
TotalSales,Total Sales,کۆی گشتی فرۆشتن
TotalSpend,Total spend,کۆی گشتی خەرجییەکان
Total_adjustments,Total adjustments,کۆی گشتی ڕێکخستنەکان
Total_Amount,Total Amount,کۆی گشتی بڕی
Total_Amount_Paid,Total Amount Paid,کۆی گشتی بڕە پارەکە
Total_Cash,Total Cash,کۆی گشتی پارەی نەختینەیی
Total_Categories,Total Categories,کۆی گشتی پۆلەکان
Total_Cheque,Total Cheque,کۆی گشتی پشکنین
Total_Clients,Total Clients,کۆی گشتی کڕیارەکان
Total_Credit,Total Credit,کۆی گشتی کریدت
Total_Credit_Card,Total Credit Card,کۆی گشتی کارتی بانکیی
Total_Customers_Due,Total Debt,کۆی قەرز
total_cycles,total cycles,کۆی گشتی سوڕەکان
Total_Debit,Total Debit,کۆی گشتی بانکی
Total_Deposits,Total Deposits,کۆی گشتی کۆگاکان
Total_Discount,Total discount,کۆی گشتی داشکاندن
Total_Expense,Total Expense,کۆی گشتی خەرجییەکان
Total_Expenses,Total Expenses,کۆی گشتی خەرجییەکان
Total_Income,Total Income,کۆی گشتی داهات
Total_Items_Quantity,Total Items & Quantity,کۆی گشتی شتەکان و بڕی
Total_Payable,Total Payable,کۆی گشتی پارەدان
Total_Products,Total products,کۆی گشتی بەرهەمەکان
Total_Purchases,Total Purchases,کۆی گشتی کڕینەکان
Total_Purchase_Due,Total Purchase Due,کۆی گشتی کڕین
Total_Purchase_Return_Due,Total Purchase Return Due,کۆی گشتی گەڕانەوەی کڕین دەبێت
Total_quotations,Total Quotations,کۆی گشتی وەرگیراوەکان
Total_return_purchases,Total return purchases,کۆی گشتی کڕینەکانی گەڕانەوە
Total_return_sales,Total return sales,کۆی گشتی فرۆشتنی گەڕانەوە
Total_Sales,total sales,کۆی گشتی فرۆشتن
Total_Sales_Amount,Total Sales Amount,کۆی گشتی بڕی فرۆشتن
Total_Sale_Due,Total Sale Due,کۆی گشتی فرۆشتن لە کاتی خۆیدا
Total_Sell_Return_Due,Total Sell Return Due,کۆی گشتی گەڕانەوەی فرۆشتن دەبێت
Total_Suppliers_Due,Total Debt,کۆی قەرز
Total_transfers,Total transfers,کۆی گشتی گواستنەوەکان
ToWarehouse,To Warehouse,بۆ کۆگا
To_Account,To Account,بۆ حسابکردن
Transaction_Summary,Transaction Summary,پوختەی مامەڵە
TransferDetail,Transfer Detail,وردەکاری گواستنەوە
Transfers,Transfers,گواستنەوە
TransfersOverTime,Transfers over time,گواستنەوە بە تێپەڕبوونی کات
Transfers_Money,Transfers Money,گواستنەوە پارە
Translation added,Translation added,وەرگێڕان زیادکراوە
Translation updated,Translation updated,وەرگێڕان نوێکراوەتەوە
Translations,Translations,وەرگێڕانەکان
Translations for,Translations for,وەرگێڕانەکان بۆ
Trial_Balance_Link,Trial Balance,هاوسەنگی تاقیکردنەوە
Trial_Balance_Subtitle,Summarized debit/credit by account.,
Trial_Balance_Title,Trial Balance,هاوسەنگی تاقیکردنەوە
Troubleshooting,Troubleshooting,چارەسەرکردنی کێشەکان
Tuesday_In,Tuesday In,سێشەممە لە
tuesday_out,tuesday Out,سێشەممە دەرەوە
TWILIO_SMS,TWILIO SMS,Twilio SMS
Twitter,Twitter,تویتەر
type,Type,جۆر
Typical,Typical,نموونەیی
Unconverted,Unconverted,نەگۆڕاو
Unit,Unit,یەکە
Unitcost,Unit cost,تێچووی یەکەی
UnitPrice,Unit Price,یەکەی نرخ
UnitProduct,Product Unit,یەکەی بەرهەم
UnitPurchase,Purchase Unit,یەکەی کڕین
Units,Unit,یەکە
UnitSale,Sale Unit,یەکەی فرۆشتن
UnitsPrchases,Purchases Units,یەکەکانی کڕین
UnitsSales,Sales Units,یەکەکانی فرۆشتن
Unit_already_linked_with_sub_unit,Unit already linked with sub unit,یەکەی پێشتر بە یەکەیەکی لاوەکی بەستراوەتەوە
Unknown,Unknown,نەزانراو
Unpaid,Unpaid,بێ مووچە
Unread,Unread,Unread
Unread_only,Unread only,نەخوێندنەوە تەنها
Unsaved_changes_may_be_lost,Unsaved changes may be lost,ڕەنگە گۆڕانکارییە ڕزگارنەکراوەکان لەدەست بدرێن
Unsynced_Product_Count,Unsynced product count,ژماردنی بەرهەمە بێ هاوپێچەکان
Untitled,Untitled,بێ ناونیشان
Updat,Update,نوێکردنەوە
Update Language,Update Language,نوێکردنەوەی زمان
Updated,Updated,نوێکراوەتەوە
Updated_in_successfully,Updated in successfully,نوێکراوەتەوە لە بە سەرکەوتوویی
UpdateProduct,Update Product,بەرهەمی نوێکردنەوە
Update_Available,Update Available,نوێکردنەوە بەردەستە
Update_Log,Update Log,نوێکردنەوەی لۆگ
Update_Now,Update Now,ئێستا نوێ بکەرەوە
Update_Payment,Update Payment,پارەدانی نوێکردنەوە
update_settings,Upgrade,بەرزکرنەوە
Update_Status,Update status,دۆخی نوێکردنەوە
Uploaded,Uploaded,Uploaded
Uploaded_Success,Uploaded in successfully,Uploaded in بە سەرکەوتوویی
Upload_Module,Upload Module,مۆدیۆلی بارکردن
"Use 2x for retina (e.g., 2400×1200).","Use 2x for retina (e.g., 2400×1200).",2x بۆ تۆڕی چاو بەکاربهێنە (بۆ نموونە، 2400×1200).
Used_for_media_upload_fallback,Used for media upload fallback,بەکاردێت بۆ Media Upload fallback
User,User,بەکارهێنەر
UserImage,User Image,وێنەی بەکارهێنەر
UserManagement,Users management,بەڕێوەبردنی بەکارهێنەران
username,Username,ناوی بەکارهێنەر
UserPermissions,Users Permissions,مۆڵەتی بەکارهێنەران
Users,Users,بەکارهێنەران
Users_Report,Users Report,ڕاپۆرتی بەکارهێنەران
User_report,User Report,ڕاپۆرتی بەکارهێنەر
Use_Saved_Credit_Card,Use Saved Credit Card,بەکارهێنانی کارتی بانکیی پاشەکەوتکراو
Use_search_to_add_products,Use search to add products,گەڕان بەکاربهێنە بۆ زیادکردنی بەرهەم
Use_This,Use This,ئەمە بەکاربهێنە
Validation,Validation,ڕەچاوکردن
Value,Value,بەها
ValueMoved,Value moved,بەها جووڵاوە
Value_by_Cost_and_Price,Value by Cost and Price,بەها بەپێی تێچوون و نرخ
VariableProduct,Variable Product,بەرهەمی گۆڕاو
Variant,Variant,جۆر
VariantDuplicate,This Variant Is Duplicate !!,ئەم جۆرە دووبارەیە !!
variants,Variants,جۆرەکانی
Variant_code,Variant code,کۆدی جۆر
Variant_cost,Variant cost,تێچووی جۆر
Variant_NAME,Variant Name,ناوی جۆر
Variant_price,Variant price,نرخى جۆر
VAT_Number,VAT Number,ژمارەی زێدەباری
Vendors,Vendors,فرۆشیاران
View,View,دیمەن
View_all,View all,بینینی هەموو
View_Change_Log,View Change Log,بینینی لۆگ
View_Details,View Details,بینینی وردەکارییەکان
view_employee,view employee,بینینی کارمەند
View_Logs,View logs,بینینی لۆگەکان
Visible,Visible,دیارە
Visit_Online_Store,Visit Online Store,سەردانی فرۆشگای ئۆنلاین بکە
Waiting_for_Items,Waiting for Items,چاوەڕوانی شتومەک
warehouse,Warehouse,کۆگا
WarehouseIdentical,The two warehouses cannot be identical !!,دوو کۆگاکە ناتوانن یەکسان بن !!
Warehouses,Warehouse,کۆگا
WarehouseStockChart,Warehouse Stock Chart,هێڵکاری کۆگا
Warehouse_report,Warehouses report,ڕاپۆرتی کۆگاکان
Warning,Warning,ئاگادار کردنەوە
WarrantyTerms,Warranty Terms,مەرجەکانی گەرەنتی
Warranty_Guarantee_Tracking,Warranty & Guarantee Tracking,گەرەنتی و گرەنتی بەدواداچوون
Warranty_Period,Warranty Period,ماوەی گەرەنتی
wednesday_in,Wednesday In,چوارشەممە لە
wednesday_out,Wednesday Out,چوارشەممە ئاوت
Welcome,Welcome,بەخێربێیت
Welcome_back_message,"Welcome back, {username}! Here's what's happening today.",بەخێر بێیت، {ناوی بەکارهێنەر}! لێرەدا ئەمڕۆ چی ڕوودەدات.
Welcome_to_your_Dashboard,Welcome to your Dashboard,بەخێربێن بۆ داشبۆردەکەت
We_cant_find_a_user_with_that_email_addres,We can\'t find a user with that email addres,ئێمە ناتوانین بەکارهێنەرێک بدۆزینەوە کە ئەو ئیمەیڵەی Addres ی هەبێت
We_have_emailed_your_password_reset_link,We have e-mailed your password reset link,ئێمە لینکی ڕێستکردنی وشەی نهێنیمان ناردووە
WhatsApp,WhatsApp,واتسئەپ
When,When,کەی
Wholesale_Price,Wholesale Price,نرخی جوملە
WooCommerce,WooCommerce,WooCommerce
WooCommerce_Settings,WooCommerce Settings,ڕێکخستنەکانی WooCommerce
WooCommerce_to_POS,WooCommerce to POS,WooCommerce بۆ POS
Woo_ID,Woo ID,Woo ID
Work_Duration,Work Duration,ماوەی کارکردن
WP_Application_Password_Optional,WP Application Password (Optional),وشەی نهێنی بەرنامەی WP (هەڵبژاردە)
WP_Username_Optional,WP Username (Optional),ناوی بەکارهێنەری WP (ئۆپشناڵ)
Years,Years,ساڵ
Yes,Yes,بەڵێ
Your_Password_has_been_changed,Your Password has been changed,وشەی نهێنی تۆ گۆڕدراوە
You_already_have_the_latest_version,You already have the latest version,پێشتر نوێترین وەشانیت هەیە
you_are_not_authorized,Sorry! you are not authorized.,ببوورە! تۆ ڕێگەپێدراو نیت.
You_cannot_delete_the_default_language,You cannot delete the default language,ناتوانیت زمانی پێشوەختە بسڕیتەوە
You_cant_edit_or_remove_default_payment_choices,You can\'t edit or remove default payment choices,تۆ دەتوانیت دەستکاری یان لابردنی هەڵبژاردەکانی پارەدانی پێشوەختە بکەیت
You_will_find_your_backup_on,You will find your backup on,تۆ پاشەکەوتەکەت لە
YTD,Year to date,ساڵ تا ئێستا
ZeroPardefault,You can delete the item or set the quantity returned to zero if it is not returned,دەتوانیت ئەو بابەتە بسڕیتەوە یان ئەو بڕە دابنێیت کە گەڕاوەتەوە بۆ سفر ئەگەر نەگەڕاوەتەوە
Zero_Sales_Products_Report,Zero Sales Products Report,ڕاپۆرتی سفری بەرهەمەکانی فرۆشتن
Zero_total_no_payment_required,Zero total no payment required,کۆی گشتی سفر پێویست بە پارەدان ناکات
ZipCode,Zip Code,کۆدی زیپ
Zip_code,Zip code,کۆدی زیپ
